0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16.35,15.52,16.38,15.66,14.78,12.98,14.28,15.18,14.08,14.1,13.5,12.5,11.93,11.88,10.63,11.63,13.23,14.02,14.35,13.35,15.37,15.22,15.9,13.78
23.68,24.18,24.46,25.23,22.35,19.68,19.0,18.65,15.93,16.75,20.0,21.62,20.92,19.37,22.34,22.37,22.12,22.92,23.63,23.42,24.75,23.73,25.77,25.6
10.7,10.03,9.23,10.75,9.63,8.68,9.3,9.78,8.83,8.55,6.98,6.57,6.82,7.32,7.07,7.17,7.67,8.0,7.8,8.53,10.05,9.92,9.8,9.85
23.8,25.71,25.32,24.98,23.6,23.54,22.65,22.1,25.57,24.5,24.5,23.27,22.77,22.03,22.62,23.82,24.8,23.27,23.95,22.58,24.82,25.4,25.98,26.18
15.73,16.91,18.14,16.76,16.67,16.38,15.95,14.6,17.9,15.52,16.68,16.2,17.15,15.92,14.53,19.97,15.35,14.76,17.9,17.22,18.31,18.37,19.34,17.49
17.65,16.92,16.73,17.6,17.88,17.39,14.9,14.6,14.3,13.82,14.24,12.63,11.97,11.68,12.27,13.1,15.25,14.34,16.3,15.83,15.6,16.55,17.1,18.52
21.98,23.78,23.37,22.47,22.17,20.85,18.5,17.37,16.12,16.14,15.3,13.75,11.9,13.03,14.65,15.1,15.28,17.22,16.23,16.32,17.03,18.88,22.45,18.82
21.93,20.85,20.88,20.13,19.58,16.98,18.18,17.58,15.72,14.48,15.3,13.55,12.37,12.37,14.37,15.27,18.87,17.44,18.55,18.8,20.95,20.13,22.52,20.2
1.58,1.63,1.3,1.55,1.9,1.64,1.69,1.55,1.77,1.77,1.3,1.6,1.42,1.37,1.7,1.28,1.52,1.46,1.51,1.4,1.62,1.53,1.57,1.42
33.1,34.4,35.83,33.33,35.85,31.61,32.07,28.37,26.5,26.37,24.7,25.57,19.85,20.65,22.75,22.27,21.68,27.2,29.57,27.48,30.32,32.62,35.15,33.0
12.8,12.73,13.9,12.57,12.27,11.14,10.55,14.9,10.55,10.47,11.28,9.95,10.7,11.38,9.77,10.62,11.08,11.12,11.62,12.28,12.48,12.62,13.25,12.83
32.07,31.43,29.32,32.97,30.71,27.88,28.85,27.75,26.3,29.03,27.43,28.45,26.93,28.13,26.42,26.8,28.42,30.32,33.05,34.4,33.78,32.8,30.45,34.87
33.5,38.05,37.09,39.37,40.43,35.81,31.18,27.23,29.35,30.28,26.25,29.98,25.63,26.38,25.63,26.53,32.33,31.93,28.48,28.25,30.5,29.92,34.07,30.92
18.17,18.78,18.95,18.87,17.45,16.81,14.8,14.95,14.07,13.38,12.29,15.46,15.2,14.45,12.89,13.22,13.5,13.9,16.3,17.28,18.39,18.98,19.32,18.67
5.02,4.98,5.63,4.62,4.9,4.63,4.5,4.43,4.63,4.34,4.33,4.45,4.38,4.48,4.62,4.3,4.15,4.63,4.53,4.22,4.67,4.58,4.85,4.45
29.27,29.62,29.9,30.4,28.92,26.9,26.32,26.0,24.17,24.1,23.02,22.28,24.4,23.95,26.18,26.35,25.7,25.97,28.53,28.83,32.19,31.58,33.02,32.42
20.87,23.67,23.38,24.5,23.87,20.19,17.92,23.28,18.98,19.98,17.07,18.5,19.25,18.83,16.57,19.15,17.78,21.24,22.07,19.92,23.53,27.18,23.58,23.95
25.17,30.1,33.02,32.63,32.41,28.85,24.9,27.37,21.98,21.83,22.7,23.9,20.47,24.42,22.55,23.45,25.63,26.47,25.92,26.45,30.6,31.65,30.63,32.12
18.7,18.32,20.28,17.8,17.08,16.07,18.13,16.48,15.52,14.97,14.7,17.4,16.63,14.02,14.48,15.39,18.57,17.53,18.13,21.15,21.62,19.45,21.9,18.1
29.27,29.68,30.24,30.47,31.2,27.42,27.38,27.25,28.63,26.35,25.02,28.35,29.6,29.87,32.69,33.6,33.12,31.86,31.53,30.18,32.42,34.75,32.98,34.8
27.73,33.08,34.4,32.13,29.73,29.59,26.38,22.85,20.42,19.78,20.5,15.75,15.35,22.78,26.85,38.25,24.05,23.71,30.88,29.77,28.63,28.78,25.55,28.87
